Tier,ADL,Type,Troop,ADL#,gold,silver,DC,SvMl,SvR,SvMt,SvF,HealthBase,StrengthBase
5,L,F,GGriffEgal,20,80,4400,0,0,0,395,0,30000,10000
8,L,O,SMounted,2,8,816,0,0,555,0,0,18360,6120
8,L,O,GMounted,2,8,680,0,0,1111,0,0,18360,6120
9,L,R,GRanged,1,4,380,0,1333,0,0,1717,16530,5510
9,L,E,GMelee,1,4,380,0,0,0,1000,0,16530,5510
9,L,E,SMelee,1,4,458,0,0,0,500,0,16530,5510
9,L,R,SRanged,1,4,458,0,667,0,0,859,16530,5510
7,L,O,GMounted,2,8,600,0,0,740,0,0,10200,3400
7,L,O,SMounted,2,8,720,0,0,370,0,0,10200,3400
8,L,R,SRanged,1,4,408,0,444,0,0,572,9180,3060
8,L,E,SMelee,1,4,408,0,0,0,333,0,9180,3060
8,L,R,GRanged,1,4,340,0,888,0,0,1145,9180,3060
8,L,E,GMelee,1,4,340,0,0,0,667,0,9180,3060
6,L,O,GMounted,2,8,520,0,0,494,0,0,5700,1900
6,L,O,SMounted,2,8,637,0,0,247,0,0,5700,1900
7,L,E,SMelee,1,4,360,0,0,0,222,0,5100,1700
7,L,E,GMelee,1,4,300,0,0,0,444,0,5100,1700
7,L,R,SRanged,1,4,360,0,296,0,0,382,5100,1700
7,L,R,GRanged,1,4,300,0,592,0,0,763,5100,1700
7,L,F,SVulture,1,4,360,0,0,0,444,0,5100,1700
5,L,O,GMounted,2,8,440,0,0,329,0,0,3150,1050
5,L,O,SMounted,2,8,539,0,0,165,0,0,3150,1050
6,L,R,GRanged,1,4,260,0,395,0,0,509,2820,940
6,L,E,GMelee,1,4,260,0,0,0,296,0,2820,940
6,L,E,SMelee,1,4,318,0,0,0,148,0,2820,940
6,L,R,SRanged,1,4,318,0,197,0,0,254,2820,940
6,L,F,SVulture,1,4,318,0,0,0,296,0,2820,940
4,L,O,GMounted,2,8,360,0,0,219,0,0,1740,580
5,L,R,GRanged,1,4,220,0,263,0,0,339,1560,520
5,L,E,GMelee,1,4,220,0,0,0,197,0,1560,520
5,L,E,SMelee,1,4,269,0,0,0,99,0,1560,520
5,L,R,SRanged,1,4,269,0,132,0,0,170,1560,520
5,L,F,SVulture,1,4,269,0,0,0,197,0,1560,520
3,L,O,GMounted,2,8,280,0,0,146,0,0,960,320
4,L,R,GRanged,1,4,180,0,176,0,0,226,870,290
4,L,E,GMelee,1,4,180,0,0,0,132,0,870,290
4,L,E,SMelee,1,4,220,0,0,0,66,0,870,290
2,L,O,GMounted,2,8,200,0,0,98,0,0,540,180
3,L,R,GRanged,1,4,140,0,117,0,0,151,480,160
3,L,E,GMelee,1,4,140,0,0,0,88,0,480,160
3,L,E,SMelee,1,4,171,0,0,0,44,0,480,160
1,L,O,GMounted,2,8,120,0,0,65,0,0,300,100
2,L,R,GRanged,1,4,100,0,78,0,0,101,270,90
2,L,E,GMelee,1,4,100,0,0,0,59,0,270,90
2,L,E,SMelee,1,4,122,0,0,0,29,0,270,90
1,L,R,GRanged,1,4,60,0,52,0,0,67,150,50
1,L,E,GMelee,1,4,60,0,0,0,39,0,150,50
1,L,E,SMelee,1,4,73,0,0,0,20,0,150,50
